Parameter,Cycle 1
max_residual_measurement_type,V
max_residual_bus_index,3
max_residual_index,17
max_residual_val,1.6841111021294708
Vest_array,"[1.0162193665613173, 1.0156553687344336, 1.0157923543590461, 0.9972255118012454, 1.0149852196903186, 1.0116517151391657, 1.011659206436057, 1.0822510822510552, 1.0089080830000914, 1.0103146265609606, 0.989180384233665, 1.0040928677833716, 1.002668186607873, 1.9145255662804541, 1.0040923735497953, 1.0040216590366688, 1.015063318268485, 1.0151375625694883, 0.9941295424526524, 1.0151278981006286, 1.0151248102867099, 1.0151241277730305, 1.0150733348386796, 1.015122575609866, 1.015071782635502, 1.0157928262093623, 1.0181945122660856, 0.9967427506120322]"
Pest_array,"[0.059932355630727, 0.0, 0.0, -0.8733989515454476, 0.0, 0.0, 0.0, -0.0020000000000175502, 0.0, 0.0, -1.00209401273793, 0.0, 0.0, 5.382183282849978, 0.0, 7.170587908167381e-14, 0.0, 0.0, -0.9973697319671507, 0.0, 0.0, 0.0, -0.0010190443516491904, 0.0, -0.001019044364368543, 0.0, 0.0, -5.356126088726939]"
Qest_array,"[0.01951876437336401, 0.0, 0.0, 0.42801350662855625, 0.0, 0.0, 0.0, -0.5202933169777191, 0.0, 0.0, 0.48064407138378684, 0.0, 0.0, -16.307473778519014, 0.0, 0.000999999999982623, 0.0, 0.0, 0.48016440107560254, 0.0, 0.0, 0.0, 0.000832539060929687, 0.0, 0.0008325390387956517, 0.0, 0.0, 2.6066729329643206]"
Vmesp_array,"[0.9999833333333334, 1.0, 1.0, 0.994418659964363, 1.0, 1.0, 1.0, 1.0822510822510822, 1.0, 1.0, 0.999178745862833, 1.0, 1.0, 1.0822510822510822, 1.0, 1.0822510822510822, 1.0, 1.0, 0.995340315694048, 1.0, 1.0, 1.0, 1.077922077922078, 1.0, 1.0822510822510822, 1.0, 1.0, 0.998317719126156]"
Pmesp_array,"[0.06, 1.0, 1.0, -0.873674686105195, 1.0, 1.0, 1.0, -0.002, 1.0, 1.0, -1.00209401273789, 1.0, 1.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.997274583037105, 1.0, 1.0, 1.0, -0.001, 1.0, -0.001, 1.0, 1.0, -5.3560400006673]"
Qmesp_array,"[0.02, 1.0, 1.0, 0.416479437054866, 1.0, 1.0, 1.0, 0.002, 1.0, 1.0, 0.480644071383581, 1.0, 1.0, 0.002, 1.0, 0.001, 1.0, 1.0, 0.485053430678807, 1.0, 1.0, 1.0, 0.001, 1.0, 0.001, 1.0, 1.0, 2.60863716868094]"
residuals_df_P,"{""Bus Name"":{""0"":""01 \/ Substation 2"",""1"":""04 \/ LV 116308"",""2"":""08 \/ LV VAFTSA"",""3"":""11 \/ LV 116310"",""4"":""16 \/ LV ARSENA AMPELIA"",""5"":""19 \/ LV 114875"",""6"":""23 \/ LV VASILINO"",""7"":""25 \/ LV GIOUNA LAKKA"",""8"":""LV Aggregated""},""Normalized Residual"":{""0"":0.0119372416,""1"":0.04865904,""2"":0.0,""3"":0.0,""4"":0.0,""5"":0.0167909877,""6"":0.0033607679,""7"":0.0033607702,""8"":0.0151920105}}"
residuals_df_Q,"{""Bus Name"":{""0"":""01 \/ Substation 2"",""1"":""04 \/ LV 116308"",""2"":""11 \/ LV 116310"",""3"":""16 \/ LV ARSENA AMPELIA"",""4"":""19 \/ LV 114875"",""5"":""23 \/ LV VASILINO"",""6"":""25 \/ LV GIOUNA LAKKA"",""7"":""LV Aggregated""},""Normalized Residual"":{""0"":0.036092672,""1"":0.865055218,""2"":0.0,""3"":0.0,""4"":0.3666772202,""5"":0.0125595704,""6"":0.0125595721,""7"":0.1473176787}}"
residuals_df_V,"{""Bus Name"":{""0"":""04 \/ LV 116308"",""1"":""08 \/ LV VAFTSA"",""2"":""19 \/ LV 114875"",""3"":""LV Aggregated""},""Normalized Residual"":{""0"":1.6841111021,""1"":0.0,""2"":0.7264639448,""3"":0.9449811085}}"
removed_residuals,"[[""P"", 13, ""14 / LV PASA NERO""], [""Q"", 13, ""14 / LV PASA NERO""], [""V"", 13, ""14 / LV PASA NERO""], [""V"", 15, ""16 / LV ARSENA AMPELIA""], [""V"", 24, ""25 / LV GIOUNA LAKKA""], [""V"", 22, ""23 / LV VASILINO""], [""Q"", 7, ""08 / LV VAFTSA""], [""V"", 0, ""01 / Substation 2""], [""V"", 10, ""11 / LV 116310""]]"
